,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.7787236686717215,0.10024358003840114,50.0,0.0880436775868506,50.0,0.6058608277755596
1,0.6933332361565163,0.09901506360885748,64.28571428571429,0.08716278190614665,50.0,0.7814581432983706
2,0.6933229106247258,0.09901699977615985,50.0,0.08675766789242614,50.0,0.6919012077592824
3,0.6932031112328481,0.09900977546163056,50.0,0.08664393865861113,50.0,0.6930744991896148
4,0.6930547023420329,0.09901236322125927,50.0,0.08664364768579537,50.0,0.6930562576870968
5,0.6931020370493168,0.0990165819252091,50.0,0.08664360501125822,50.0,0.6930354767793822
6,0.6932569272756717,0.09901653677781996,50.0,0.08664297939257398,50.0,0.6931302563311772
7,0.6931859585088221,0.09901841202661066,71.42857142857143,0.08664324097106654,50.0,0.6932643967032536
8,0.6929496850579215,0.09902148396296202,50.0,0.08664340457541947,50.0,0.692933947164963
9,0.6930591728797625,0.09902160663232763,50.0,0.08664386227160696,50.0,0.6932622404592163
10,0.6932662808002198,0.09903159908518093,50.0,0.08664390271290533,50.0,0.6930736429797865
11,0.6931469307032513,0.09902697011314439,50.0,0.08664342961195806,50.0,0.6928795960173738
12,0.6932083419873812,0.09903008601251655,50.0,0.08664437604989758,50.0,0.6927771824951586
13,0.692975807253321,0.09902884454229358,50.0,0.08666805540661798,50.0,0.6923448257390913
14,0.6929691930279678,0.09902362111130436,50.0,0.08664066746535602,50.0,0.678575598400445
15,0.693199840571609,0.09902678174687653,50.0,0.08670939572502605,50.0,0.6908103918764249
16,0.6930578958781317,0.09902552639855644,50.0,0.08651415611461803,50.0,0.6876014948655458
17,0.6947939652367177,0.09901851489351333,50.0,0.08664206687012303,50.0,0.6931041677940022
18,0.6930102641608007,0.0990196148805365,50.0,0.08669855366581389,50.0,0.693694073701328
19,0.6929355072281423,0.09900584552376375,50.0,0.08664349575499442,50.0,0.6928867986951094
20,0.694079958878695,0.09900447989176553,50.0,0.08664543963434494,50.0,0.6934022236075598
21,0.693240013385907,0.09902123585595654,50.0,0.08664510453639454,50.0,0.6929884055064693
22,0.6931302102038785,0.09902903879330191,50.0,0.0866447506093911,50.0,0.6919662957999697
23,0.6927255504489809,0.0990240924117034,50.0,0.08664314473522639,50.0,0.6910126879240345
24,0.692258857076404,0.09904331649027306,50.0,0.08664423030687352,50.0,0.6925011455956477
25,0.6943359737479547,0.09905632669970274,50.0,0.08664439490703692,50.0,0.7408245365071826
26,0.6934010397626003,0.09903760335853344,50.0,0.08663748937180309,50.0,0.6927978320424488
27,0.6934676400209586,0.09903622951691779,50.0,0.08663563537469843,50.0,0.6926861470092162
28,0.6922038316309139,0.09904397125149547,50.0,0.08659391157020913,50.0,0.6911675850651454
29,0.6934214610241101,0.09904420390245565,50.0,0.08581034137297466,50.0,0.7169306535301193
30,0.6932623402175357,0.09906925050125495,50.0,0.08406212211863907,50.0,0.5590754034854278
31,0.6957902217244242,0.09913068163935944,50.0,0.08664805963248937,75.0,0.5697271976748746
32,0.6925978068076871,0.09909061913093234,50.0,0.08666699154605001,50.0,0.6951696835148948
33,0.6909507822395285,0.0991062508709726,50.0,0.08667614309665607,50.0,0.6913481588060155
34,0.6901237468180895,0.09908956309713322,50.0,0.08668510475563919,50.0,0.6906284941502449
35,0.6889538497208519,0.0991773196667873,50.0,0.0867035973694774,50.0,0.6854361081914373
36,0.692982043709162,0.09925631981073535,50.0,0.08673240591590352,50.0,0.6909132552273336
37,0.6815400348478214,0.09939206680638572,50.0,0.08675774184407453,50.0,0.670290432195399
38,0.6835207077777972,0.09938676620580937,50.0,0.08681183510126084,50.0,0.6998160712997538
39,0.6807605797793597,0.10010132865277464,50.0,0.08675823709025052,50.0,0.6758329844036512
40,0.6898695567929761,0.10006238148421713,50.0,0.08682250138869854,50.0,0.6985103785817621
41,0.6474647941350675,0.1004087648136256,50.0,0.08688681939990836,50.0,0.6748542444881399
42,0.687343446695891,0.09984354107071622,50.0,0.08700857929389738,50.0,0.6497724674165318
43,0.6450244537448901,0.10031987636383707,50.0,0.08690595711514171,50.0,0.6734077503085629
44,0.6879376887383883,0.10090590478212315,50.0,0.08728198351979999,50.0,0.6596688272701084
45,0.698065241269025,0.10138360187001849,50.0,0.08736411762523455,50.0,0.6212818929730894
46,0.6438611205715251,0.10266334976423128,50.0,0.0878996395785642,50.0,0.6947107057349279
47,0.6634669686523489,0.10104062358199402,50.0,0.09364796702149587,50.0,0.6291394371141786
48,0.7956964244774962,0.10697062228345698,50.0,0.08919562602303555,50.0,0.6626129474957282
49,0.6839248394654106,0.1107077696703904,50.0,0.09319586387699454,50.0,0.5578937950800144
50,0.655865252972316,0.10377297595488602,50.0,0.10220988569957418,50.0,1.282080250793652
51,0.645546862611815,0.09984829045856837,50.0,0.26182394707279255,50.0,0.15727149271914273
52,0.6073463681427921,0.1251975631824835,50.0,0.2899182273928564,62.5,0.0158153617043099
53,0.21135989781663184,0.5794901886684182,50.0,0.37800719751499584,50.0,0.1417979403418352
54,0.6555898085040506,0.25165395296995785,50.0,0.16272750958578278,50.0,0.03929958764300273
55,0.43414437545138096,0.2025788867014577,35.714285714285715,0.1889328752834565,50.0,0.0346150109936657
56,0.554104786526087,0.1567256180656311,42.857142857142854,0.16351914550096555,50.0,0.2996210679447103
57,0.5449213000030249,0.37430780674369124,50.0,0.4904085651206429,50.0,0.021239465869053193
58,0.09907102064667521,0.4747904660344583,50.0,0.11781824939006298,62.5,0.24541113338859635
59,0.4021739141508975,0.49466335198129924,35.714285714285715,0.4690492196636888,62.5,0.14244169494914824
60,0.002456303662384527,0.5962535558276452,50.0,0.11630655685626122,62.5,0.0030303138566333578
61,0.016513356994962234,0.4851094578503162,42.857142857142854,0.23751714883226432,62.5,0.09958096046326224
62,0.0005269461494301458,0.6474668350988215,42.857142857142854,0.31525483332877574,62.5,0.004199611183884297
63,0.0004372384697806355,0.5408119412617819,42.857142857142854,0.28356116115409985,50.0,0.00019534314804992733
64,0.938972528668968,1.0629566760948967,50.0,0.809861593558812,50.0,0.7565449425274339
65,0.0017335023137454797,0.5651665128284077,42.857142857142854,0.594531616105972,62.5,0.21725108169492183
66,0.005718797913833413,0.5162602415057352,42.857142857142854,0.2779487305914373,37.5,0.0027299796700350223
67,0.0030034976375673374,0.5909221750009709,50.0,0.305832399217915,50.0,1.5874772837223776e-05
68,0.0006710196985065078,0.6543476982768961,35.714285714285715,0.42747023298990217,62.5,0.13804223200999985
69,4.661016218782239e-05,0.6761168087099086,42.857142857142854,0.3841344830438287,62.5,5.213525125526949e-05
70,1.7434185766970745e-05,0.6218656277742863,42.857142857142854,0.40289452007064136,62.5,6.3471223591247545e-06
71,0.00024634329601495115,0.7233875167641546,42.857142857142854,0.42259596956316164,62.5,3.6469715691658186e-05
72,6.601489100092825e-05,0.6889524374864634,42.857142857142854,0.43282448352032293,62.5,1.7457617976778768e-05
73,0.00028507296014599395,0.7622546204065076,42.857142857142854,0.43347080256661663,62.5,0.00011080868895391536
74,0.0001770582974863586,0.7791715739857733,42.857142857142854,0.43664316322591884,62.5,2.5858584722369487e-05
75,1.8248236325776364e-05,0.7872572627440569,42.857142857142854,0.43749873522930893,62.5,3.312621869445078e-05
76,6.34534395208517e-05,0.7801474770302134,42.857142857142854,0.43893641206008127,62.5,1.6298721842770496e-05
77,5.536480383407627e-06,0.7783346810849032,42.857142857142854,0.4361500115847852,62.5,1.008199450314451e-05
78,7.957512668543555e-05,0.7844749529110321,42.857142857142854,0.4351729405271231,62.5,0.00021699154698354934
79,6.184288511711167e-06,0.8372363075019912,42.857142857142854,0.4356272186260108,62.5,4.478002736923653e-06
80,2.888030651734699e-05,0.8308570906192188,42.857142857142854,0.43910950274291627,62.5,1.0050299816265461e-05
81,1.665854754715444e-05,0.8138346947519965,42.857142857142854,0.4440087641251877,62.5,2.6542948804316033e-05
82,7.166151395961661e-06,0.9255950459265839,42.857142857142854,0.4568827236853356,62.5,4.74123813659084e-06
83,9.74849148123234e-06,0.8886315662589129,42.857142857142854,0.46658448925891216,62.5,4.254188455102816e-05
84,1.6556307347224435e-05,0.9632590217588508,42.857142857142854,0.4701010766459675,62.5,2.9124290201802883e-05
85,3.128409115225247e-06,0.9033855802662922,42.857142857142854,0.4721335885855908,62.5,1.6290724099287926e-06
86,1.0927258803919893e-06,0.9364374550253446,42.857142857142854,0.4725252295758772,62.5,2.2437723628948525e-06
