,ADHD5,ADHD5,ADHD5
,Loss/train,Loss/test,Accuracy/test
0,0.6285775966922783,0.052063329753592014,50.0
1,0.6935836554774661,0.04323284463117539,50.0
2,0.7726289914725749,0.04532407654600777,50.0
3,0.644900134906805,0.04321829610057188,68.75
4,0.6212834292180427,0.04263441707157228,43.75
5,0.6237826640671418,0.04600885482893824,50.0
6,0.7110218074740644,0.0433397003027508,62.5
7,0.5976696352339842,0.04774669651060827,50.0
8,0.5429138956049264,0.04282964318413558,56.25
9,0.4451052815619883,0.049465601098342936,50.0
10,0.3424568871446839,0.05006200098659381,68.75
11,0.37159167751265204,0.05074079659716401,68.75
12,0.3780283302137119,0.04886949062122567,68.75
13,0.362845559714252,0.04520877094944874,75.0
14,0.3113273371742164,0.06186386820535772,56.25
15,0.3487553750115099,0.049679129693945084,81.25
16,0.14205628292435854,0.04960819160941423,75.0
17,0.07933943152805013,0.06506355413795951,62.5
18,0.10740769825806178,0.057583870878255866,75.0
19,0.20022891465865872,0.07710501062039103,62.5
20,0.2327554942259717,0.0706164723365796,81.25
21,0.6751994530175078,0.12032704158019358,50.0
22,0.06998640198289975,0.06853105065415593,75.0
23,0.1315399947676391,0.0776087887149029,62.5
24,0.35583595463044204,0.07049607715175953,81.25
25,0.062249094593582174,0.0735085202862685,62.5
26,0.05972463989914611,0.06624048686445747,68.75
27,0.017725020773601795,0.06410589901125842,81.25
28,0.009177821311352146,0.07465825270568266,62.5
29,0.009381494603489924,0.0637455914945663,75.0
30,0.0029766787305813866,0.06803761222674634,68.75
31,0.006049526713260487,0.06599553496208273,68.75
32,0.002229573735241414,0.06653191507251426,75.0
33,0.003022631010283651,0.0706373767159495,68.75
34,0.0020238414381406594,0.06920851269884351,68.75
35,0.002542674279289394,0.07094118643418773,68.75
36,0.00306686225830341,0.07298244281917107,68.75
37,0.0022831048941740566,0.07252101929242138,68.75
38,0.0014476631332125103,0.07365763122772065,68.75
39,0.0014555619507441468,0.07524009842393083,68.75
40,0.0010191695648448609,0.07569501406146419,68.75
41,0.0019580934322994932,0.07614096226971721,68.75
42,0.0014752064880623058,0.07825387621089526,68.75
43,0.0012457716379244512,0.07819033459173899,68.75
44,0.0010090272428321418,0.07876235609168877,68.75
45,0.0011008586408819613,0.0797580081395636,68.75
46,0.000893149761476555,0.08046973208234694,68.75
47,0.0009179863876943625,0.08111622108691612,68.75
48,0.0006250280416000206,0.08308168747376031,68.75
49,0.0007961282946670386,0.0819790639925531,68.75
50,0.0008277026287594305,0.08240105703408514,68.75
51,0.0005823392737326177,0.08520235202319436,68.75
52,0.0004251546511061262,0.08582010335264388,68.75
53,0.0007136034244666855,0.08455148264622114,68.75
54,0.0005885355788762236,0.08537904905026655,68.75
55,0.000540874219361766,0.0871890692298495,68.75
56,0.0003046103727428073,0.08695113025789195,68.75
57,0.000490049033276013,0.08711118849384343,68.75
58,0.00043386462281748764,0.08838740479752945,68.75
59,0.00024332925461887747,0.08983516930793096,68.75
60,0.0003515592934547928,0.08992561478093097,68.75
61,0.0002865687084174458,0.08951094919085956,68.75
62,0.0002685149550304221,0.09029775114840549,68.75
63,0.00027166655735029775,0.09055695548420559,68.75
64,0.00025700055196448254,0.09130036522813226,68.75
65,0.00030559830777794725,0.09188637509118198,68.75
66,0.0002333318157359699,0.09280273919734146,68.75
67,0.000207110848380315,0.09311216500171449,68.75
68,0.00024643000620963053,0.09307490776833473,68.75
69,0.00020924423222409806,0.09362915080058683,68.75
70,0.00015526661033741493,0.09397685885708348,68.75
71,0.00012898518386709416,0.09521429987896549,68.75
72,0.0002006772349322838,0.09562923327754377,68.75
73,0.00018061943137893976,0.09569586208953325,68.75
74,0.00011389890467981752,0.09581790738329157,68.75
75,0.00010919574834010894,0.09627334477271077,68.75
76,0.0001710428902448767,0.09683892459880594,68.75
77,0.00010692962968503939,0.0972386070577154,68.75
78,7.791355508313863e-05,0.0978786978968692,68.75
79,7.866359506383964e-05,0.09819417277955583,68.75
80,0.00012798707009274187,0.09861681630794993,68.75
81,0.00011001318451344797,0.09871279506723839,68.75
82,9.163433306887724e-05,0.09924493524449284,68.75
83,0.00010268113704654382,0.09958776743389733,68.75
84,0.00016380133179006378,0.1002927808283788,68.75
85,7.997762792858837e-05,0.10040989909459273,68.75
86,9.434913165138325e-05,0.10091390625471491,68.75
87,8.284679110949347e-05,0.1008763770556016,68.75
88,6.69032135763354e-05,0.10100689633177004,68.75
89,0.00011805975385992449,0.10119870290377415,68.75
90,8.966334446183338e-05,0.10172499904584355,68.75
91,4.766214242171027e-05,0.10237442578550739,68.75
92,7.855375815347981e-05,0.1028385774491274,68.75
93,5.679776055950543e-05,0.10325060079115929,68.75
94,9.589728614423508e-05,0.10374152484775064,68.75
95,7.648860683299277e-05,0.103803482324478,68.75
96,5.310688522450855e-05,0.10352510857466811,68.75
97,5.4492410757957344e-05,0.10368821826294115,68.75
98,5.954395533999167e-05,0.10429022357407217,68.75
99,4.553851256372242e-05,0.10482774996808142,68.75
