,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,27.748493933895396,27.285542853436997,0.0,0.0,0.0,0.0,0.0,11.846596752596541,0.0,0.0,0.0,0.0,0.0,53.417019657328716,45.50030009156306,0.0,0.0,0.0,0.0,0.0,80.9035345510442,11.413312046112447,0.0,0.0,0.0,0.0,0.0,59.74850794742034,966.8998067207679,0.0,0.0,0.0,0.0,0.0,1676.5079116878026,94.57642097075534,0.0,0.0,0.0,0.0,0.0,13.232410341429212,1248.4624876057333,0.0,0.0,0.0,0.0,0.0,607.5303317899276,214.18173849749945,0.0,0.0,0.0,0.0,0.0,1415.7273441600275,791.1442415785737,0.0,0.0,0.0,0.0,0.0,1556.461545997128,300.94314850195417,0.0,0.0,0.0,0.0,0.0,598.475115629487,988.2576544964338,0.0,0.0,0.0,0.0,0.0,1285.5769281932528,155.7133357066041,0.0,0.0,0.0,0.0,0.0,390.0592002056981,704.6930057384997,0.0,0.0,0.0,0.0,0.0,370.7055822304821,2678.5350250133165,0.0,0.0,0.0,0.0,0.0,2733.5219209693114,2616.6058745219634,0.0,0.0,0.0,0.0,0.0,2342.8881940112433,4674.156876229766,0.0,0.0,0.0,0.0,0.0,3103.4517576071858,774.0312860499959,0.0,0.0,0.0,0.0,0.0,278.78099400077394
1,56.331605937515704,33.98583855494989,0.0,0.0,0.0,0.0,0.0,8.198538806053293,0.0,0.0,0.0,0.0,0.0,1.1957460302325846,23.286172140992218,0.0,0.0,0.0,0.0,0.0,22.222310259434888,161.73910663606904,0.0,0.0,0.0,0.0,0.0,39.71999774745529,679.1750413608004,0.0,0.0,0.0,0.0,0.0,509.0726727327375,79.91205132771178,0.0,0.0,0.0,0.0,0.0,47.52976498138484,448.04948279735123,0.0,0.0,0.0,0.0,0.0,372.7150700271254,136.17152157885943,0.0,0.0,0.0,0.0,0.0,124.3967015395286,483.0716937952712,0.0,0.0,0.0,0.0,0.0,476.0735422199445,88.0411030965469,0.0,0.0,0.0,0.0,0.0,229.53236635526292,339.1570925393729,0.0,0.0,0.0,0.0,0.0,652.705525047918,124.00946105194112,0.0,0.0,0.0,0.0,0.0,345.68011856029545,165.52310068980702,0.0,0.0,0.0,0.0,0.0,536.8735002697017,1215.220030519843,0.0,0.0,0.0,0.0,0.0,397.07449682899085,726.1141801255662,0.0,0.0,0.0,0.0,0.0,665.3360339656597,4477.307430569526,0.0,0.0,0.0,0.0,0.0,3552.3793408509973,775.5480846284299,0.0,0.0,0.0,0.0,0.0,361.683087009401
2,12.031716617990668,9.313831500854166,0.0,0.0,0.0,0.0,0.0,6.807892507803785,0.0,0.0,0.0,0.0,0.0,10.173369072671557,18.904374637939668,0.0,0.0,0.0,0.0,0.0,31.11212113174945,106.27642160847688,0.0,0.0,0.0,0.0,0.0,42.52702777156458,475.1876311361455,0.0,0.0,0.0,0.0,0.0,844.9964709258531,87.74851888934775,0.0,0.0,0.0,0.0,0.0,36.17686754960094,217.80356196396997,0.0,0.0,0.0,0.0,0.0,9.690158480788453,55.72298240124072,0.0,0.0,0.0,0.0,0.0,218.58704374783056,235.2553059539746,0.0,0.0,0.0,0.0,0.0,774.4537895505803,78.0813048363999,0.0,0.0,0.0,0.0,0.0,46.84293481995815,292.64025577499785,0.0,0.0,0.0,0.0,0.0,423.6186986458432,41.21268515837403,0.0,0.0,0.0,0.0,0.0,256.13158487342355,163.12226194688955,0.0,0.0,0.0,0.0,0.0,52.204093644048896,958.2026629020027,0.0,0.0,0.0,0.0,0.0,979.5273157221872,401.9356529189914,0.0,0.0,0.0,0.0,0.0,289.00212820449985,4418.354318421773,0.0,0.0,0.0,0.0,0.0,3931.58576338362,771.3697916333782,0.0,0.0,0.0,0.0,0.0,409.37245771947863
3,16.750347839311893,12.91003445293233,0.0,0.0,0.0,0.0,0.0,4.610825984320824,0.0,0.0,0.0,0.0,0.0,7.2910811469029895,13.666831386851715,0.0,0.0,0.0,0.0,0.0,10.989407078028725,122.13125219438302,0.0,0.0,0.0,0.0,0.0,68.66204570312885,318.3929387999141,0.0,0.0,0.0,0.0,0.0,907.0076607996776,67.92082276455342,0.0,0.0,0.0,0.0,0.0,13.612953024771366,260.2193982150457,0.0,0.0,0.0,0.0,0.0,440.9042283662786,80.98667963798087,0.0,0.0,0.0,0.0,0.0,30.77286814153066,124.02058348337721,0.0,0.0,0.0,0.0,0.0,899.2627230791961,140.0944803278101,0.0,0.0,0.0,0.0,0.0,115.6666473263128,220.79264722918464,0.0,0.0,0.0,0.0,0.0,202.12357537399976,46.89864132965548,0.0,0.0,0.0,0.0,0.0,113.80536216846663,144.0497775206817,0.0,0.0,0.0,0.0,0.0,170.63550551951855,387.0594466206411,0.0,0.0,0.0,0.0,0.0,296.12459458891607,135.08118630503625,0.0,0.0,0.0,0.0,0.0,445.0983315871956,3372.88430861906,0.0,0.0,0.0,0.0,0.0,2973.7569642637477,769.6959028612399,0.0,0.0,0.0,0.0,0.0,370.8193833979517
4,4.229020963453266,2.217565217372825,0.0,0.0,0.0,0.0,0.0,4.4607435831460025,0.0,0.0,0.0,0.0,0.0,0.5259900569576893,12.02478396444028,0.0,0.0,0.0,0.0,0.0,15.127044177283382,12.077026030027964,0.0,0.0,0.0,0.0,0.0,7.78888809445398,298.04147525542635,0.0,0.0,0.0,0.0,0.0,452.50717528419233,61.32110573379667,0.0,0.0,0.0,0.0,0.0,72.59748210098354,185.11029434680518,0.0,0.0,0.0,0.0,0.0,104.0694678325178,48.29025090419243,0.0,0.0,0.0,0.0,0.0,1.4558001188153722,107.16726956999645,0.0,0.0,0.0,0.0,0.0,54.252409644763446,87.53657729051574,0.0,0.0,0.0,0.0,0.0,79.66818106361895,227.49740870781523,0.0,0.0,0.0,0.0,0.0,211.884634555447,88.93643918271026,0.0,0.0,0.0,0.0,0.0,132.04263306121885,142.8650202732876,0.0,0.0,0.0,0.0,0.0,215.45092393503205,315.88054253969824,0.0,0.0,0.0,0.0,0.0,346.09815646231385,135.19729713025953,0.0,0.0,0.0,0.0,0.0,116.84216327652882,2476.54587554777,0.0,0.0,0.0,0.0,0.0,2180.1515779999386,637.5659333501952,0.0,0.0,0.0,0.0,0.0,221.8220134929984
5,9.333828190262047,9.027175936437452,0.0,0.0,0.0,0.0,0.0,2.121367942495134,0.0,0.0,0.0,0.0,0.0,2.29447577476227,9.899523929506586,0.0,0.0,0.0,0.0,0.0,22.737161292928437,2.332467037159263,0.0,0.0,0.0,0.0,0.0,3.8560596601238286,193.4757597441726,0.0,0.0,0.0,0.0,0.0,207.12828115323074,58.54859868789534,0.0,0.0,0.0,0.0,0.0,45.12950445910471,181.94511694717133,0.0,0.0,0.0,0.0,0.0,83.16180962054472,57.742463223500124,0.0,0.0,0.0,0.0,0.0,11.932875289490811,90.95602981329934,0.0,0.0,0.0,0.0,0.0,96.80393253305503,92.07471456807328,0.0,0.0,0.0,0.0,0.0,91.02702504899439,223.54855526845958,0.0,0.0,0.0,0.0,0.0,312.00046670364236,103.93992873914543,0.0,0.0,0.0,0.0,0.0,43.19665636658004,149.5287761878642,0.0,0.0,0.0,0.0,0.0,88.39394699544998,220.9962481901677,0.0,0.0,0.0,0.0,0.0,119.01343561197406,256.23305107194165,0.0,0.0,0.0,0.0,0.0,62.88532301172498,1560.5429628623842,0.0,0.0,0.0,0.0,0.0,1533.204279092232,404.98714781970347,0.0,0.0,0.0,0.0,0.0,225.13388664796975
6,1.6689513681206125,28.891694525417623,0.0,0.0,0.0,0.0,0.0,23.645555066487898,0.0,0.0,0.0,0.0,0.0,10.027101745775534,9.507841067075825,0.0,0.0,0.0,0.0,0.0,7.550842863564299,4.216643778773545,0.0,0.0,0.0,0.0,0.0,3.5918382172719627,167.39053835565744,0.0,0.0,0.0,0.0,0.0,225.24001701232038,63.285885758028684,0.0,0.0,0.0,0.0,0.0,8.130163056166566,195.82196066802624,0.0,0.0,0.0,0.0,0.0,83.24947360715714,55.384131004188916,0.0,0.0,0.0,0.0,0.0,1.3397249175573749,71.66855920215403,0.0,0.0,0.0,0.0,0.0,104.07279840211191,94.58881903547228,0.0,0.0,0.0,0.0,0.0,93.66724791758188,126.46722659131339,0.0,0.0,0.0,0.0,0.0,252.48238302341673,61.611169592221394,0.0,0.0,0.0,0.0,0.0,215.3115066306097,115.77027255977066,0.0,0.0,0.0,0.0,0.0,23.62948361540605,153.2091455371273,0.0,0.0,0.0,0.0,0.0,56.10800122043183,191.27345447687017,0.0,0.0,0.0,0.0,0.0,78.11920513350165,751.1494614730641,0.0,0.0,0.0,0.0,0.0,671.8919334149639,267.0968048166989,0.0,0.0,0.0,0.0,0.0,151.4189828360647
7,2.2244741828932293,2.4325816711951482,0.0,0.0,0.0,0.0,0.0,2.922753272278844,0.0,0.0,0.0,0.0,0.0,0.519013203065426,6.996023204420893,0.0,0.0,0.0,0.0,0.0,7.137391242395034,25.77306397679814,0.0,0.0,0.0,0.0,0.0,5.378075364682988,283.7268947766988,0.0,0.0,0.0,0.0,0.0,275.7010845849832,54.839257930385514,0.0,0.0,0.0,0.0,0.0,75.08338633863205,206.548301548767,0.0,0.0,0.0,0.0,0.0,17.605307942319143,105.71945210414984,0.0,0.0,0.0,0.0,0.0,190.83622695535163,87.73076708052612,0.0,0.0,0.0,0.0,0.0,290.9231439210647,113.93920762123085,0.0,0.0,0.0,0.0,0.0,90.75141436209141,119.2371483909173,0.0,0.0,0.0,0.0,0.0,290.6166232627731,99.44864381366007,0.0,0.0,0.0,0.0,0.0,150.0164022158377,111.50473374465093,0.0,0.0,0.0,0.0,0.0,6.818370930484339,145.04400561958505,0.0,0.0,0.0,0.0,0.0,76.38841511772065,120.93209625469282,0.0,0.0,0.0,0.0,0.0,50.58038155762944,177.39737663068934,0.0,0.0,0.0,0.0,0.0,282.8280243253824,131.08345165235264,0.0,0.0,0.0,0.0,0.0,25.575093757557234
8,3.2650513371028524,3.5032481968638183,0.0,0.0,0.0,0.0,0.0,2.338532831677018,0.0,0.0,0.0,0.0,0.0,1.2228877516238381,10.001636340654622,0.0,0.0,0.0,0.0,0.0,13.294839193531336,5.3346955218172605,0.0,0.0,0.0,0.0,0.0,5.72343862780143,209.3518179463233,0.0,0.0,0.0,0.0,0.0,118.44187974308569,45.914002153951515,0.0,0.0,0.0,0.0,0.0,64.16412485029429,176.5962112331053,0.0,0.0,0.0,0.0,0.0,119.39550720132108,100.15339741236224,0.0,0.0,0.0,0.0,0.0,215.6461493392616,74.05515053808249,0.0,0.0,0.0,0.0,0.0,3.94591766111757,85.8495917328804,0.0,0.0,0.0,0.0,0.0,21.19177805099927,121.27290514340507,0.0,0.0,0.0,0.0,0.0,213.1457670873258,36.481115569307555,0.0,0.0,0.0,0.0,0.0,101.85439727502163,104.4255576673257,0.0,0.0,0.0,0.0,0.0,3.03482120303995,147.67857344373363,0.0,0.0,0.0,0.0,0.0,78.01598217874869,110.12056200101965,0.0,0.0,0.0,0.0,0.0,46.86070770703091,160.5485122252136,0.0,0.0,0.0,0.0,0.0,201.5379566194725,125.76051392678856,0.0,0.0,0.0,0.0,0.0,37.73722095330466
