,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6937193110353226,0.6931122178239415,40.0,0.53125,0.1428571343421936,0.1666666716337204,0.125,0.7824917701202044,36.36363636363637,0.375,0.0,0.0,0.0,0.5622006724372243,0.6680449367487111,54.54545454545454,1.0,0.0,0.0,0.0,0.6818976239709119,0.7106977683185276,50.0,0.4375,0.1666666716337204,0.25,0.125,0.6975848357157334,0.710286655380123,25.0,0.375,0.4000000059604645,0.3333333432674408,0.5,0.691861297406356,0.7334420848964552,50.0,0.4444444444444444,0.0,0.0,0.0,0.6550351693321913,0.6933003006963545,28.57142857142857,1.0,0.444444477558136,0.2857142984867096,1.0,0.6952068864936977,0.682260827777362,57.14285714285714,0.5,0.0,0.0,0.0,1.356491447368089,0.681069772558624,55.55555555555556,0.6166666666666667,0.38461539149284363,0.3125,0.5,0.6914695839755598,0.6928994381972958,52.63157894736842,0.625,0.0,0.0,0.0,0.6931895851745064,0.6886864351534701,50.0,0.84375,0.6666666865348816,0.5,1.0,0.6655709889219101,0.6717521867359696,60.0,0.9,0.7179487347602844,0.5625,1.0,0.693640226413006,0.6933770772751047,40.0,0.13333333333333333,0.1428571492433548,0.25,0.10000000149011612,0.6925419764716636
1,0.693208448312411,0.6931708989832293,60.0,0.53125,0.3333333432674408,0.30000001192092896,0.375,0.6278461876710039,63.63636363636363,0.8333333333333333,0.7846153974533081,0.6458333432674408,1.0,0.6176354242757873,0.7264615683714787,45.45454545454545,0.03333333333333333,0.6727272868156433,0.5208333432674408,1.0,0.6961228161884371,0.6960252388878563,50.0,0.5666666666666667,0.6573426723480225,0.5,1.0,0.6592199499515581,0.693303331944866,37.5,0.375,0.444444477558136,0.4000000059604645,0.5,0.7517760080942627,0.6930736964080876,50.0,0.8888888888888888,0.0,0.0,0.0,0.6971705047927841,0.6293046331446762,100.0,1.0,1.0,1.0,1.0,0.7067766850007443,0.7352957812298226,42.857142857142854,0.4166666666666667,0.5999999642372131,0.4285714328289032,1.0,0.6847034881091514,0.6931346596005756,55.55555555555556,0.55,0.38461539149284363,0.3125,0.5,0.6939430818978176,0.7519965430120088,52.63157894736842,0.5555555555555556,0.0,0.0,0.0,0.670808057879762,0.7575739655538796,50.0,0.6833333333333333,0.38461539149284363,0.3125,0.5,0.5900088391986913,0.6930231998999219,50.0,0.6666666666666667,0.25,0.5,0.1666666716337204,0.6796073570790264,0.6928624222460492,60.0,0.53125,0.8333333432674408,0.75,1.0,0.7173581483997037
2,0.6999461178252567,0.6906123588098453,40.0,0.8333333333333333,0.6060606241226196,0.4375,1.0,0.6760549820943663,63.63636363636363,0.41666666666666663,0.6785714328289032,0.5416666716337204,1.0,0.6625776081638178,0.7021356277914944,45.45454545454545,0.0625,0.5833333432674408,0.4166666716337204,1.0,0.691468336096414,0.6936758169326518,50.0,0.5,0.6573426723480225,0.5,1.0,0.6741924470906658,0.6921864427767367,50.0,0.6875,0.0,0.0,0.0,0.6939304108354977,0.6930670593997733,66.66666666666666,0.6666666666666666,0.75,0.6000000238418579,1.0,0.6929396041247743,0.5730133611567985,71.42857142857143,1.0,0.0,0.0,0.0,0.6193187389418325,0.7224111767608251,42.857142857142854,0.4166666666666667,0.5999999642372131,0.4285714328289032,1.0,0.6831515089814555,0.6933619216356995,44.44444444444444,0.46875,0.0,0.0,0.0,0.6936680367380232,0.6884218218249546,52.63157894736842,0.6597222222222222,0.0,0.0,0.0,0.6447264820274706,0.7077778303236073,50.0,0.875,0.6666666865348816,0.5,1.0,0.6100636939883743,0.6750710044740408,60.0,0.75,0.25,0.5,0.1666666716337204,0.6750553329730649,0.6853838812005503,60.0,0.5625,0.6666666865348816,0.800000011920929,0.625,0.6353535127439169
3,0.6891285833982937,0.6868684561393142,60.0,0.6333333333333333,0.0,0.0,0.0,0.7053318415207184,36.36363636363637,0.20833333333333334,0.30000001192092896,0.375,0.25,0.7163801569487077,0.6946077693397025,27.27272727272727,0.41666666666666663,0.0,0.0,0.0,0.6927865152904675,0.6940854050608092,50.0,0.5666666666666667,0.6573426723480225,0.5,1.0,0.8397102314627738,0.6931203865107423,50.0,0.5,0.0,0.0,0.0,0.7315921159525675,0.6930451547179276,50.0,0.6666666666666666,0.6666666865348816,0.5,1.0,0.7342333206014472,0.5487721993282867,85.71428571428571,1.0,0.6666666865348816,1.0,0.5,0.6306320788887239,0.7161339448890135,42.857142857142854,0.4166666666666667,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6237412603291158,0.6932468833251499,44.44444444444444,0.46875,0.0,0.0,0.0,0.6933374016614245,0.6779662196502825,52.63157894736842,0.6555555555555556,0.1111111044883728,0.3333333333333333,0.06666666766007741,0.6733716646477541,0.7046916721654772,50.0,0.5833333333333333,0.38461539149284363,0.3125,0.5,0.7501906655581616,0.6891343341796652,60.0,0.43333333333333335,0.375,0.5,0.30000001192092896,0.7375470849857488,0.6637166486395281,60.0,0.8333333333333333,0.6969697177410126,0.5833333432674408,0.9000000059604645,0.5641478957195444
4,0.7030632132990412,0.6933356222966036,40.0,0.5416666666666667,0.7000000029802322,0.625,1.0,0.6780287398998146,63.63636363636363,0.45,0.7846153974533081,0.6458333432674408,1.0,0.614654902654164,0.7188017129998255,45.45454545454545,0.21875,0.5833333432674408,0.4166666716337204,1.0,0.7244138140074206,0.6994347557347771,50.0,0.5625,0.6666666865348816,0.5,1.0,0.9181548513914308,0.6932779432167756,50.0,0.25,0.0,0.0,0.0,0.6927045840075137,0.6929601098755146,50.0,0.7777777777777778,0.5714285373687744,0.5,0.6666666865348816,0.6978001212707349,0.47022820835688073,71.42857142857143,1.0,0.0,0.0,0.0,0.8928274595837654,0.7108302084303222,57.14285714285714,0.4166666666666667,0.6666666865348816,0.5,1.0,0.6562141011548743,0.69317002578689,44.44444444444444,0.3833333333333333,0.3333333432674408,0.2857142984867096,0.4000000059604645,0.6932889184728945,0.668043820534596,68.42105263157895,0.5388888888888889,0.3757575849692027,0.4333333373069763,0.3333333432674408,0.7545420339753669,0.7203773365658239,50.0,0.3125,0.6666666865348816,0.5,1.0,0.6787106900626986,0.6723668899130214,50.0,1.0,0.5,0.5,0.5,0.6793893241542466,0.6364734762995676,60.0,0.625,0.8333333432674408,0.75,1.0,0.7550746210934566
5,0.6932566151909804,0.6889752063922214,60.0,0.46875,0.0,0.0,0.0,0.709050724181293,63.63636363636363,0.6,0.7846153974533081,0.6458333432674408,1.0,0.8679202577747214,0.8511927050061079,45.45454545454545,0.03125,0.5833333432674408,0.4166666716337204,1.0,0.7021109035660787,0.7084330632211997,50.0,0.5333333333333333,0.6573426723480225,0.5,1.0,0.7079261410676774,0.6987955682269222,50.0,0.5625,0.0,0.0,0.0,0.6280638297858346,0.6929141693995122,50.0,0.5555555555555556,0.6666666865348816,0.5,1.0,0.6938537536653184,0.47609875112070527,85.71428571428571,1.0,0.6666666865348816,1.0,0.5,0.449140559788638,1.010805462224382,42.857142857142854,0.5833333333333334,0.5999999642372131,0.4285714328289032,1.0,0.7989117446299507,0.6607045376750288,55.55555555555556,0.5166666666666666,0.38461539149284363,0.3125,0.5,0.6927197963629999,0.7360918784401254,52.63157894736842,0.6986111111111111,0.0,0.0,0.0,0.6856693600814427,0.9021820333901418,50.0,0.65625,0.6666666865348816,0.5,1.0,0.712153467241226,0.8419079740847929,40.0,0.9,0.0,0.0,0.0,0.6863858077088565,0.6735666648320044,60.0,0.5,0.25,0.5,0.1666666716337204,0.6474312621539685
6,0.6912277015250216,0.6691418297803822,60.0,0.6666666666666666,0.0,0.0,0.0,0.7032996238770687,63.63636363636363,0.3833333333333333,0.7846153974533081,0.6458333432674408,1.0,0.5111638818027989,0.6923598306038244,54.54545454545454,0.90625,0.0,0.0,0.0,0.6927484364205831,0.6981169466203077,56.25,0.4166666666666667,0.3333333432674408,0.5,0.25,0.6412561012765599,0.7761205045431743,37.5,0.125,0.0,0.0,0.0,0.6619767200293648,0.6872275648135376,50.0,0.7777777777777778,0.5714285373687744,0.5,0.6666666865348816,0.692422344351096,0.6199753984214782,100.0,1.0,1.0,1.0,1.0,0.8199965979647503,0.7535223512218446,42.857142857142854,0.4166666666666667,0.5999999642372131,0.4285714328289032,1.0,0.7761728222896271,0.7753736577053354,44.44444444444444,0.40625,0.0,0.0,0.0,0.684828079756553,0.7229841537389678,47.368421052631575,0.6458333333333334,0.5888888835906982,0.4761904776096344,0.8333333333333334,0.44725442442421004,0.6960897069203863,30.0,0.3833333333333333,0.125,0.1666666716337204,0.10000000149011612,0.6335946196083568,1.2289095726373602,40.0,0.9,0.0,0.0,0.0,0.6416316650553481,0.6272146309482842,70.0,0.65625,0.8636363744735718,0.7857142984867096,1.0,0.6418540129975244
7,0.6746878715473338,0.6932462969262779,60.0,0.3,0.0,0.0,0.0,0.6791735077519242,63.63636363636363,0.25,0.6785714328289032,0.5416666716337204,1.0,0.6303587769293859,0.7312684737688578,27.27272727272727,0.15625,0.0,0.0,0.0,0.6652539179992518,0.7056264389287037,43.75,0.5,0.5727272629737854,0.4642857164144516,0.75,0.6975610368524716,0.6886016178716178,50.0,0.5,0.0,0.0,0.0,0.7451363234192597,0.6809531679619562,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.6847846623069425,0.42651807342946896,100.0,1.0,1.0,1.0,1.0,0.7941043160195371,0.7910305899754284,57.14285714285714,0.4166666666666667,0.6666666865348816,0.5,1.0,0.6482379244584487,0.6804475610988094,55.55555555555556,0.5,0.8333333432674408,0.75,1.0,0.4807769596582297,0.6743336588407556,63.1578947368421,0.5833333333333334,0.3888888955116272,0.6666666666666666,0.2777777810891469,0.5912905324639837,0.8379454681631999,50.0,0.48333333333333334,0.7727272808551788,0.6875,1.0,0.5405686804453587,0.5888653072864127,90.0,1.0,0.8333333432674408,0.75,1.0,0.6761717412916103,0.5600113242826423,70.0,0.9333333333333333,0.7500000298023224,0.6071428656578064,1.0,0.49959819437647063
8,0.9355737659607372,0.6944685927944996,60.0,0.5,0.0,0.0,0.0,0.7952527493534014,63.63636363636363,0.5,0.8333333432674408,0.75,1.0,0.6516191827479793,0.707099973723241,54.54545454545454,0.28125,0.0,0.0,0.0,0.707228605119411,0.9104441713922193,50.0,0.6000000000000001,0.6573426723480225,0.5,1.0,0.9069286178771627,0.6921974916292778,50.0,0.5625,0.0,0.0,0.0,0.596328160394718,0.867963358478565,50.0,0.3333333333333333,0.6666666865348816,0.5,1.0,0.6255848075352322,0.3688262897115139,85.71428571428571,1.0,0.6666666865348816,1.0,0.5,0.5571590402974744,0.7958606381321796,57.14285714285714,0.25,0.0,0.0,0.0,0.28275917902229264,0.6925880947552572,55.55555555555556,0.59375,0.8333333432674408,0.75,1.0,0.7395176209521653,0.9590183804500022,47.368421052631575,0.5,0.6111111243565878,0.4444444477558136,1.0,0.6957389225111391,0.807728373814436,50.0,0.45,0.38461539149284363,0.3125,0.5,0.6469662308333932,0.6054291989562911,60.0,0.65625,0.8333333432674408,0.75,1.0,0.40609094671864143,0.7525482546607055,60.0,0.75,0.8333333432674408,0.75,1.0,0.5574476517785791
